title;price_str;price;url
Видеокарта Asus Tuf Gaming 1660 Super;12 900 грн.;12900;https://www.olx.ua/d/obyavlenie/videokarta-asus-tuf-gaming-1660-super-IDNPmiq.html?sd=1#58ecdf0f42
Продам видеокарту Msi geforce gtx 1080ti с коробкой;13 000 грн.Договорная;13000;https://www.olx.ua/d/obyavlenie/prodam-videokartu-msi-geforce-gtx-1080ti-s-korobkoy-IDOGIVp.html?sd=1#58ecdf0f42
Продам видео карту, Nvidia GeForce 3070 ti,gigabyte,в новом состоянии.;30 000 грн.;30000;https://www.olx.ua/d/obyavlenie/prodam-video-kartu-nvidia-geforce-3070-ti-gigabyte-v-novom-sostoyanii-IDOEGXH.html#58ecdf0f42
GIGABYTE GeForce GTX 1660 Ti OC 6G;13 500 грн.;13500;https://www.olx.ua/d/obyavlenie/gigabyte-geforce-gtx-1660-ti-oc-6g-IDOpkDn.html?sd=1#58ecdf0f42
Palit GeForce GTX 1080 DUAL 8 GB;15 000 грн.;15000;https://www.olx.ua/d/obyavlenie/palit-geforce-gtx-1080-dual-8-gb-IDO3kwV.html?sd=1#58ecdf0f42
Майнінг ферма XFX RX 570 8 gb(5шт.);2 500 грн.;2500;https://www.olx.ua/d/obyavlenie/maynng-ferma-xfx-rx-570-8-gb5sht-IDNvgGb.html?sd=1#58ecdf0f42
Видеокарта AMD Radeon RX 5600 XT 6GB GDDR6 Red Dragon 39 mhs KLAVAcomp;15 000 грн.;15000;https://www.olx.ua/d/obyavlenie/videokarta-amd-radeon-rx-5600-xt-6gb-gddr6-red-dragon-39-mhs-klavacomp-IDMurut.html?sd=1#58ecdf0f42
Видеокарта HIS Radeon HD7750 2GB GDDR3 (128bit) (DVI,HDMI,VGA);1 999 грн.;1999;https://www.olx.ua/d/obyavlenie/videokarta-his-radeon-hd7750-2gb-gddr3-128bit-dvi-hdmi-vga-IDMKYmM.html?sd=1#58ecdf0f42
Видеокарта Sapphire Nitro AMD Radeon RX 470 4GB Refurbished;6 000 грн.Договорная;6000;https://www.olx.ua/d/obyavlenie/videokarta-sapphire-nitro-amd-radeon-rx-470-4gb-refurbished-IDOHqkt.html#58ecdf0f42
Видеокарта Asus EXpedition RX470 4gb DVI only 256bit KLAVAcomp;4 399 грн.;4399;https://www.olx.ua/d/obyavlenie/videokarta-asus-expedition-rx470-4gb-dvi-only-256bit-klavacomp-IDLnG2E.html?sd=1#58ecdf0f42
NVIDIA GeForce RTX 3090 24GB founders edition ,Днепр,Киев;59 122 грн.;59122;https://www.olx.ua/d/obyavlenie/nvidia-geforce-rtx-3090-24gb-founders-edition-dnepr-kiev-IDMUDmP.html#58ecdf0f42
