sport;title;time of pub;url
Футбол;Андрій ЯРМОЛЕНКО: «5 червня – вирішальний момент. Хочемо зробити подарунок»;16:33;https://sport.ua/uk/news/585115-andrey-yarmolenko-5-iyunya-reshayushchiy-moment-hotim-sdelat-ukraine-podarok
Бокс;Промоутер Ломаченка: «Василю треба буде ухвалити важливе рішення»;16:11;https://sport.ua/uk/news/585112-promouter-lomachenko-vasiliyu-nuzhno-budet-prinyat-vazhnoe-reshenie
Війна;Системи HIMARS. День 99. США дають Україні артилерію, але з однією умовою;16:05;https://sport.ua/uk/news/585064-sistemy-himars-den-99-ssha-dayut-ukraine-artilleriyu-no-s-odnim-usloviem
Теніс;Іга Свьонтек – Дар'я Касаткіна. Дивитися онлайн. LIVE трансляція;15:59;https://sport.ua/uk/news/585114-iga-svyontek-darya-kasatkina-smotret-onlayn-live-translyatsiya
Футбол;Чехія – Швейцарія. Прогноз та анонс на матч Ліги націй;15:56;https://sport.ua/uk/news/584926-chehiya-shveytsariya-prognoz-i-anons-na-match-ligi-natsiy
Війна;Зеленський розповів, скільки населених пунктів окупувала росія;15:52;https://sport.ua/uk/news/585113-zelenskiy-rasskazal-skolko-naselennyh-punktov-okkupirovala-rossiya
Футбол;Бельгія – Нідерланди. Прогноз та анонс на матч Ліги націй;15:49;https://sport.ua/uk/news/585105-belgiya-niderlandy-prognoz-i-anons-na-match-ligi-natsiy
Футбол;«Зберегли Бейла та Ремзі під Україну». Тренер Уельсу - про вирішальний матч;15:40;https://sport.ua/uk/news/585111-sohranili-beyla-i-remzi-pod-ukrainu-trener-uelsa-o-reshayushchem-matche
Футбол;Король футболу Пеле закликав путіна зупинити злісну війну в Україні;15:39;https://sport.ua/uk/news/585110-korol-futbola-pele-prizval-putina-ostanovit-zlobnuyu-voynu-v-ukrainu
Футбол;Словенія – Швеція. Прогноз та анонс на матч Ліги націй;15:30;https://sport.ua/uk/news/585095-sloveniya-shvetsiya-prognoz-i-anons-na-match-ligi-natsiy
Футбол;Тарас Степаненко зіграв 70-й матч за збірну України;15:25;https://sport.ua/uk/news/585109-taras-stepanenko-sygral-70-y-match-za-sbornuyu-ukrainy
Хокей;ХК Сокіл може провести сезон у чемпіонаті Польщі, Угорщини чи Словаччини;15:18;https://sport.ua/uk/news/585108-hk-sokol-mozhet-provesti-sezon-v-chempionate-polshi-vengrii-ili-slovakii
Футбол;Сербія – Норвегія. Прогноз та анонс на матч Ліги націй;15:10;https://sport.ua/uk/news/584981-serbiya-norvegiya-prognoz-i-anons-na-match-ligi-natsiy
Футбол;В матчі з Шотландією України відзначила одразу три переможні ювілеї;15:01;https://sport.ua/uk/news/585107-v-matche-s-shotlandiey-sbornaya-ukrainy-otmetila-srazu-tri-pobednyh-yubileya
Футбол;Збірна України 12-й раз в історії здобула перемогу у першій грі року;14:55;https://sport.ua/uk/news/585106-sbornaya-ukrainy-12-y-raz-v-istorii-oderzhala-pobedu-v-pervoy-igre-goda
Теніс;ДОЛГОПОЛОВ: «Моя голова тільки в новинах – що відбувається на фронтах»;14:53;https://sport.ua/uk/news/585104-dolgopolov-moya-golova-tolko-v-novostyah-chto-proishodit-na-frontah
Футбол;ОФІЦІЙНО. Антоніо Рюдігер – гравець Реала;14:45;https://sport.ua/uk/news/585103-ofitsialno-antonio-ryudiger-igrok-reala
Теніс;Байндл обіграла колишню фіналістку Вімблдона на старті трав'яного сезону;14:44;https://sport.ua/uk/news/585102-bayndl-obygrala-byvshuyu-finalistku-uimbldona-na-starte-travyanogo-sezona
Футбол;Іспанія – Португалія. Прогноз та анонс на матч Ліги націй;14:30;https://sport.ua/uk/news/584962-ispaniya-portugaliya-prognoz-i-anons-na-match-ligi-natsiy
Теніс;Завацька завершила боротьбу на 60-тисячнику в Італії;14:26;https://sport.ua/uk/news/585101-zavatskaya-zavershila-borbu-na-60-tysyachnike-v-italii
Стрільба;Українець Куліш виграв золото на етапі Кубка світу в Азербайджані;14:25;https://sport.ua/uk/news/585099-ukrainets-kulish-vyigral-zoloto-na-etape-kubka-mira-v-azerbaydzhane
Футбол;Лідер збірної Шотландії: «Дуже розчаровані домашньою невдачею з Україною»;14:19;https://sport.ua/uk/news/585100-lider-sbornoy-shotlandii-ochen-razocharovany-domashney-neudachey-s-ukrainoy
Футбол;Де дивитись онлайн матч Ліги націй Іспанія – Португалія;14:00;https://sport.ua/uk/news/584961-gde-smotret-onlayn-match-ligi-natsiy-ispaniya-portugaliya
Футбол;Карім БЕНЗЕМА: «Перемога на чемпіонаті світу була б моїм апофеозом»;13:49;https://sport.ua/uk/news/585098-karim-benzema-pobeda-na-chempionate-mira-byla-by-moim-apofeozom
Теніс;ДОЛГОПОЛОВ: «Перед війною я вирішив поїхати і чекати, що буде далі»;13:31;https://sport.ua/uk/news/585097-dolgopolov-pered-voynoy-ya-reshil-uehat-i-zhdat-chto-budet-dalshe
